BAY_SEG,YEAR,MONTH,tnloadkg
6,1986,8,5822.68
6,1986,9,2316.91
6,1986,10,3592.88
6,1986,11,1648.34
6,1986,12,1213.57
6,1987,1,1319.14
6,1987,2,2602.16
6,1987,3,4644.71
6,1987,4,1475.03
6,1987,5,4661.70
6,1987,6,2527.75
6,1987,7,4790.27
6,1987,8,3994.06
6,1987,9,2927.16
6,1987,10,1315.72
6,1987,11,1579.75
6,1987,12,1015.74
6,1988,1,1460.05
6,1988,2,1239.84
6,1988,3,1536.58
6,1988,4,1725.06
6,1988,5,1618.53
6,1988,6,1195.23
6,1988,7,3002.03
6,1988,8,12844.48
6,1988,9,13586.50
6,1988,10,1661.11
6,1988,11,2316.56
6,1988,12,932.84
6,1989,1,1032.71
6,1989,2,822.36
6,1989,3,1233.31
6,1989,4,5312.86
6,1989,5,1331.60
6,1989,6,4223.18
6,1989,7,4768.72
6,1989,8,7299.78
6,1989,9,9485.91
6,1989,10,1503.35
6,1989,11,1235.60
6,1989,12,1543.84
6,1990,1,871.93
6,1990,2,1500.10
6,1990,3,968.17
6,1990,4,1048.01
6,1990,5,1710.01
6,1990,6,5550.29
6,1990,7,4041.22
6,1990,8,4840.31
6,1990,9,2389.69
6,1990,10,1182.15
6,1990,11,2928.62
6,1990,12,1005.95
6,1991,1,1294.20
6,1991,2,1108.18
6,1991,3,2728.63
6,1991,4,2609.15
6,1991,5,4023.63
6,1991,6,3764.38
6,1991,7,5446.08
6,1991,8,4469.60
6,1991,9,2192.64
6,1991,10,892.88
6,1991,11,1086.77
6,1991,12,797.83
6,1992,1,942.07
6,1992,2,1380.11
6,1992,3,2328.90
6,1992,4,2730.25
6,1992,5,882.54
6,1992,6,10622.50
6,1992,7,3755.97
6,1992,8,6286.16
6,1992,9,2649.22
6,1992,10,1724.28
6,1992,11,942.48
6,1992,12,899.65
6,1993,1,2213.44
6,1993,2,1366.17
6,1993,3,1892.66
6,1993,4,2020.96
6,1993,5,1245.99
6,1993,6,2097.34
6,1993,7,4654.14
6,1993,8,5982.05
6,1993,9,3227.65
6,1993,10,2443.68
6,1993,11,1161.87
6,1993,12,729.41
6,1994,1,1315.93
6,1994,2,984.98
6,1994,3,947.82
6,1994,4,2142.94
6,1994,5,1067.25
6,1994,6,4835.33
6,1994,7,6933.25
6,1994,8,6748.00
6,1994,9,5394.89
6,1994,10,2548.43
6,1994,11,1011.83
6,1994,12,1012.40
7,1985,1,12790.77
7,1985,2,11209.29
7,1985,3,19892.02
7,1985,4,14042.73
7,1985,5,21165.88
7,1985,6,20502.76
7,1985,7,40642.61
7,1985,8,60252.05
7,1985,9,70203.17
7,1985,10,19462.78
7,1985,11,15487.14
7,1985,12,10621.48
7,1986,1,10422.84
7,1986,2,11754.48
7,1986,3,15420.33
7,1986,4,11673.41
7,1986,5,13809.43
7,1986,6,34803.92
7,1986,7,67543.83
7,1986,8,110553.83
7,1986,9,37287.46
7,1986,10,21285.48
7,1986,11,14748.04
7,1986,12,11280.06
7,1987,1,16394.38
7,1987,2,16551.41
7,1987,3,72561.31
7,1987,4,33165.30
7,1987,5,66153.62
7,1987,6,17295.10
7,1987,7,55288.77
7,1987,8,45181.96
7,1987,9,27690.06
7,1987,10,13827.75
7,1987,11,18018.49
7,1987,12,10758.63
7,1988,1,9142.92
7,1988,2,10949.03
7,1988,3,30543.41
7,1988,4,13835.72
7,1988,5,13213.82
7,1988,6,10980.58
7,1988,7,33764.66
7,1988,8,141502.78
7,1988,9,294950.53
7,1988,10,25457.80
7,1988,11,27467.12
7,1988,12,8814.14
7,1989,1,9480.38
7,1989,2,9962.61
7,1989,3,12225.20
7,1989,4,26875.03
7,1989,5,12699.38
7,1989,6,26717.95
7,1989,7,35868.38
7,1989,8,96692.58
7,1989,9,148311.19
7,1989,10,23909.56
7,1989,11,12866.64
7,1989,12,10113.01
7,1990,1,10670.70
7,1990,2,14098.16
7,1990,3,12237.14
7,1990,4,10393.39
7,1990,5,15891.19
7,1990,6,28361.18
7,1990,7,31503.38
7,1990,8,43567.79
7,1990,9,23318.86
7,1990,10,19230.69
7,1990,11,19607.57
7,1990,12,12976.60
7,1991,1,24241.64
7,1991,2,21625.53
7,1991,3,24270.42
7,1991,4,19732.70
7,1991,5,77522.21
7,1991,6,135982.94
7,1991,7,148396.87
7,1991,8,73757.83
7,1991,9,17723.26
7,1991,10,17080.56
7,1991,11,7467.25
7,1991,12,6629.86
7,1992,1,7567.51
7,1992,2,11762.64
7,1992,3,17413.45
7,1992,4,24570.57
7,1992,5,10472.40
7,1992,6,130392.82
7,1992,7,63937.14
7,1992,8,166012.69
7,1992,9,41529.14
7,1992,10,31961.84
7,1992,11,8841.02
7,1992,12,7909.94
7,1993,1,46904.00
7,1993,2,21391.09
7,1993,3,47857.64
7,1993,4,33221.67
7,1993,5,12199.77
7,1993,6,20336.16
7,1993,7,28432.03
7,1993,8,34787.21
7,1993,9,45330.96
7,1993,10,22547.49
7,1993,11,18488.38
7,1993,12,13443.68
7,1994,1,14594.03
7,1994,2,10299.80
7,1994,3,13735.67
7,1994,4,20341.56
7,1994,5,13478.61
7,1994,6,66920.42
7,1994,7,88102.39
7,1994,8,115492.10
7,1994,9,101084.70
7,1994,10,30386.56
7,1994,11,15508.50
7,1994,12,14196.37
